"+	064c
=+	064d
/+	064e
'+	064f
1+	0650
3+	0651
0+	0652
aS	0670
p+	067e
v+	06a4
gf	06af
0a	06f0
1a	06f1
2a	06f2
3a	06f3
4a	06f4
5a	06f5
6a	06f6
7a	06f7
8a	06f8
9a	06f9
B.	1e02
b.	1e03
B_	1e06
b_	1e07
D.	1e0a
d.	1e0b
D_	1e0e
d_	1e0f
D,	1e10
d,	1e11
F.	1e1e
f.	1e1f
G-	1e20
g-	1e21
H.	1e22
h.	1e23
H:	1e26
h:	1e27
H,	1e28
h,	1e29
K'	1e30
k'	1e31
K_	1e34
k_	1e35
L_	1e3a
l_	1e3b
M'	1e3e
m'	1e3f
M.	1e40
m.	1e41
N.	1e44
n.	1e45
N_	1e48
n_	1e49
P'	1e54
p'	1e55
P.	1e56
p.	1e57
R.	1e58
r.	1e59
R_	1e5e
r_	1e5f
S.	1e60
s.	1e61
T.	1e6a
t.	1e6b
T_	1e6e
t_	1e6f
V?	1e7c
v?	1e7d
W!	1e80
w!	1e81
W'	1e82
w'	1e83
W:	1e84
w:	1e85
W.	1e86
w.	1e87
X.	1e8a
x.	1e8b
X:	1e8c
x:	1e8d
Y.	1e8e
y.	1e8f
Z>	1e90
z>	1e91
Z_	1e94
z_	1e95
h_	1e96
t:	1e97
w0	1e98
y0	1e99
A2	1ea2
a2	1ea3
E2	1eba
e2	1ebb
E?	1ebc
e?	1ebd
I2	1ec8
i2	1ec9
O2	1ece
o2	1ecf
U2	1ee6
u2	1ee7
Y!	1ef2
y!	1ef3
Y2	1ef6
y2	1ef7
Y?	1ef8
y?	1ef9
;'	1f00
,'	1f01
;!	1f02
,!	1f03
?;	1f04
?,	1f05
!:	1f06
?:	1f07
1N	2002
1M	2003
3M	2004
4M	2005
6M	2006
1T	2009
1H	200a
-1	2010
-N	2013
-M	2014
-3	2015
!2	2016
=2	2017
'6	2018
'9	2019
.9	201a
9'	201b
"6	201c
"9	201d
:9	201e
9"	201f
/-	2020
/=	2021
..	2025
,.	2026
%0	2030
1'	2032
2'	2033
3'	2034
1"	2035
2"	2036
3"	2037
Ca	2038
<1	2039
>1	203a
:X	203b
'-	203e
/f	2044
0S	2070
4S	2074
5S	2075
6S	2076
7S	2077
8S	2078
9S	2079
+S	207a
-S	207b
=S	207c
(S	207d
)S	207e
nS	207f
0s	2080
1s	2081
2s	2082
3s	2083
4s	2084
5s	2085
6s	2086
7s	2087
8s	2088
9s	2089
+s	208a
-s	208b
=s	208c
(s	208d
)s	208e
Li	20a4
Pt	20a7
W=	20a9
Eu	20ac
=R	20bd
=P	20bd
oC	2103
co	2105
oF	2109
N0	2116
PO	2117
Rx	211e
SM	2120
TM	2122
Om	2126
AO	212b
13	2153
23	2154
15	2155
25	2156
35	2157
45	2158
16	2159
56	215a
18	215b
38	215c
58	215d
78	215e
1R	2160
2R	2161
3R	2162
4R	2163
5R	2164
6R	2165
7R	2166
8R	2167
9R	2168
aR	2169
bR	216a
cR	216b
1r	2170
2r	2171
3r	2172
4r	2173
5r	2174
6r	2175
7r	2176
8r	2177
9r	2178
ar	2179
br	217a
cr	217b
<-	2190
-!	2191
->	2192
-v	2193
<>	2194
UD	2195
<=	21d0
=>	21d2
==	21d4
FA	2200
dP	2202
TE	2203
/0	2205
DE	2206
NB	2207
(-	2208
-)	220b
*P	220f
+Z	2211
-2	2212
-+	2213
*-	2217
Ob	2218
Sb	2219
RT	221a
0(	221d
00	221e
-L	221f
-V	2220
PP	2225
AN	2227
OR	2228
(U	2229
)U	222a
In	222b
DI	222c
Io	222e
.:	2234
:.	2235
:R	2236
::	2237
?1	223c
CG	223e
?-	2243
?=	2245
?2	2248
=?	224c
HI	2253
!=	2260
=3	2261
=<	2264
>=	2265
<*	226a
*>	226b
!<	226e
!>	226f
(C	2282
)C	2283
(_	2286
